Project Type,Location,Vintage,Co-Benefits,Base Price
Energy Efficiency,South America,2019,Low,17.649171364046033
Renewable Energy,Asia,2007,Medium,6.462714884613462
Energy Efficiency,South America,2023,Low,13.384709511496611
Methane Capture,Africa,2011,None,12.516318203932956
Methane Capture,Asia,2000,High,15.59289774445038
Methane Capture,South America,2024,High,13.014358278405137
Energy Efficiency,North America,2020,None,13.111018506996563
Renewable Energy,Asia,2019,None,11.44393915364097
Renewable Energy,Asia,2005,Medium,9.632516360110113
Energy Efficiency,North America,2021,Medium,12.233965418782883
Methane Capture,Europe,2017,Medium,6.777385381526009
Methane Capture,Africa,2007,Low,19.42270008474627
Renewable Energy,Europe,2006,Medium,15.716161454398975
Methane Capture,South America,2000,None,19.2870067503177
Reforestation,North America,2020,High,8.400910734949449
Renewable Energy,Europe,2015,Low,18.19011530264792
Methane Capture,Asia,2011,Medium,17.131849768453076
Renewable Energy,South America,2005,Low,15.157286186865106
Reforestation,South America,2019,Low,14.375437791278086
Renewable Energy,Europe,2001,Medium,9.74824497901805
Renewable Energy,Europe,2013,Low,17.24616177447546
Renewable Energy,North America,2003,High,12.522731922196007
Renewable Energy,Africa,2000,None,6.0633736383692804
Reforestation,Europe,2022,None,9.69294741282695
Energy Efficiency,Europe,2017,High,19.029456478179917
Renewable Energy,Asia,2012,Low,17.760203909072693
Renewable Energy,South America,2001,Medium,19.728585471148087
Methane Capture,Africa,2008,Low,14.419900739061472
Renewable Energy,Asia,2020,High,8.712651097106178
Methane Capture,North America,2001,Low,7.442225745152957
Energy Efficiency,North America,2024,None,7.8037166091269246
Reforestation,Europe,2008,Low,5.296934875208816
Reforestation,Europe,2000,High,10.860231664789087
Energy Efficiency,North America,2010,None,7.871415207493138
Reforestation,Europe,2002,Low,11.174831906850535
Energy Efficiency,Africa,2019,Low,19.02491647758148
Energy Efficiency,Europe,2022,None,11.45810314260785
Energy Efficiency,South America,2003,Medium,18.169767454772522
Reforestation,Europe,2017,None,14.082571499238147
Methane Capture,Asia,2022,Medium,8.706973319920879
Energy Efficiency,Africa,2005,High,10.337821388888171
Renewable Energy,Asia,2002,High,6.258793037321441
Reforestation,Asia,2021,None,10.001938903940157
Energy Efficiency,South America,2010,None,15.163114182553011
Energy Efficiency,Africa,2014,High,6.081666393941528
Renewable Energy,Africa,2021,Medium,8.081021127170441
Methane Capture,Africa,2004,High,10.721615621199671
Methane Capture,Africa,2019,None,19.730743055239437
Methane Capture,Africa,2009,High,16.772927344383202
Energy Efficiency,South America,2011,None,16.002301197381556
Energy Efficiency,Europe,2014,None,6.74286434788169
Energy Efficiency,Asia,2016,High,16.714938404224874
Reforestation,Africa,2009,Medium,16.779032172740227
Renewable Energy,Europe,2005,Low,14.016540434364924
Energy Efficiency,Europe,2017,High,19.855426729975576
Renewable Energy,Asia,2012,Low,9.878808588868278
Renewable Energy,South America,2002,High,19.119086723627774
Methane Capture,North America,2023,Low,18.720966724347555
Reforestation,North America,2009,Medium,5.172209896240668
Energy Efficiency,Europe,2013,Medium,11.751747897122165
Methane Capture,Asia,2005,High,19.6565634957736
Methane Capture,North America,2002,None,6.546820436121137
Energy Efficiency,Europe,2015,Low,13.216770415749792
Renewable Energy,South America,2006,None,19.684362605616563
Methane Capture,North America,2019,None,13.332431361587902
Renewable Energy,Europe,2013,None,7.84722954458234
Reforestation,Europe,2008,Medium,13.732748451388847
Renewable Energy,Africa,2014,High,8.066608609243202
Reforestation,South America,2020,High,12.795563943417264
Renewable Energy,Africa,2002,Medium,6.11063326868522
Methane Capture,Asia,2001,Medium,14.082240038216069
Methane Capture,Africa,2001,High,12.751849086922373
Reforestation,Africa,2002,None,16.10242053142195
Energy Efficiency,North America,2017,Low,14.460507067381775
Reforestation,Europe,2013,Low,13.24409402796135
Reforestation,South America,2019,Low,15.346682738721817
Renewable Energy,Africa,2017,None,7.1591287035834625
Renewable Energy,South America,2009,High,13.930394918879061
Reforestation,Africa,2024,Medium,7.581659042341665
Methane Capture,Asia,2001,High,18.882833117778212
Renewable Energy,Africa,2024,None,6.025011572684063
Energy Efficiency,North America,2021,Medium,11.455621245361899
Renewable Energy,Europe,2000,None,15.436962164831673
Renewable Energy,Asia,2003,Low,11.87033317502388
Energy Efficiency,Africa,2013,Low,6.381428798493536
Reforestation,South America,2000,None,13.300685241900611
Energy Efficiency,Asia,2013,Medium,14.624478632410318
Reforestation,Asia,2015,Medium,15.556884664857614
Reforestation,Africa,2021,High,10.598897216941385
Reforestation,Asia,2013,Low,13.454899565431433
Energy Efficiency,South America,2019,High,11.760297124083696
Reforestation,Asia,2002,High,15.080840581283802
Methane Capture,South America,2002,None,13.753354509872278
Energy Efficiency,Africa,2008,None,12.886343293387023
Methane Capture,Europe,2005,High,8.742865502573729
Reforestation,Asia,2024,Low,5.0302777662235085
Renewable Energy,Europe,2012,None,7.611225129671439
Reforestation,South America,2020,High,6.75599062136253
Methane Capture,Asia,2001,High,11.736271175164202
Methane Capture,North America,2007,High,14.18387226142767
Energy Efficiency,Europe,2020,High,8.196275130272124
Renewable Energy,Asia,2001,High,19.085856439507808
Energy Efficiency,Europe,2003,High,5.100231938358316
Methane Capture,Asia,2024,None,16.584515227480143
Reforestation,Africa,2014,Low,14.378071542956633
Renewable Energy,Europe,2003,High,10.603322015715229
Reforestation,North America,2012,Medium,5.757334166186119
Reforestation,North America,2011,None,14.41229857676419
Renewable Energy,South America,2012,None,10.78420269298472
Energy Efficiency,Asia,2013,High,19.04400709119829
Reforestation,Europe,2019,None,13.129851123346489
Methane Capture,South America,2017,High,19.094772669402623
Reforestation,Europe,2005,Low,8.30725540209956
Renewable Energy,Asia,2010,Low,15.88588865546155
Renewable Energy,North America,2001,None,14.258735312730884
Renewable Energy,Africa,2022,None,16.091123447469677
Energy Efficiency,North America,2018,Medium,8.220017959588052
Reforestation,South America,2018,None,14.974917743566605
Energy Efficiency,Africa,2004,Medium,12.470605895853033
Energy Efficiency,South America,2018,Low,16.142374623594744
Renewable Energy,Asia,2001,Low,9.905669662277266
Renewable Energy,Africa,2009,High,18.35085538197879
Energy Efficiency,South America,2024,Low,6.264519719170256
Reforestation,Asia,2001,Medium,17.10783978186782
Methane Capture,North America,2010,None,17.91979438722636
Energy Efficiency,Asia,2017,High,17.258784670502315
Reforestation,Europe,2023,Medium,12.69089591392664
Renewable Energy,Asia,2014,None,11.57577470046142
Renewable Energy,Asia,2008,High,19.943934297873152
Reforestation,Europe,2022,Low,8.437579268212431
Methane Capture,South America,2018,Medium,13.20313948814067
Renewable Energy,South America,2008,None,15.060132880734884
Renewable Energy,Asia,2002,High,15.51301453792148
Renewable Energy,Europe,2020,High,8.06036998607868
Reforestation,Europe,2008,Low,14.809911385097019
Energy Efficiency,North America,2013,None,17.27554349722006
Renewable Energy,South America,2018,Low,5.750278652316683
Energy Efficiency,Africa,2006,Low,18.67281939987975
Methane Capture,South America,2015,None,5.442560827178089
Renewable Energy,South America,2015,None,10.339565487325915
Renewable Energy,North America,2000,None,5.237197943494431
Methane Capture,Africa,2003,Medium,6.157177528093728
Renewable Energy,North America,2003,None,18.667524277701187
Energy Efficiency,Africa,2006,High,10.322912461192217
Reforestation,Asia,2007,Low,11.371572956375793
Energy Efficiency,Africa,2016,Medium,8.23016572073829
Reforestation,North America,2004,None,13.956436552800797
Reforestation,South America,2006,Medium,13.922048220166845
Energy Efficiency,Africa,2019,None,10.58300587737829
Energy Efficiency,Africa,2019,Medium,9.995523077080975
Energy Efficiency,Europe,2003,Low,18.274464622708816
Energy Efficiency,South America,2005,Low,10.749263594633021
Methane Capture,Asia,2006,High,12.402514882316122
Renewable Energy,North America,2017,High,9.249571436373959
Reforestation,Asia,2004,None,16.80154255035691
Energy Efficiency,South America,2019,Low,10.961722353486374
Energy Efficiency,Africa,2002,Medium,12.704165698164868
Energy Efficiency,Africa,2006,Medium,8.80035755089492
Methane Capture,South America,2021,Medium,19.814893885118778
Energy Efficiency,Africa,2013,High,9.372436113855844
Energy Efficiency,Africa,2006,Medium,16.561137963583278
Energy Efficiency,Africa,2004,High,11.412434755351388
Renewable Energy,North America,2021,High,8.093261076262099
Methane Capture,North America,2004,None,16.995781459472916
Energy Efficiency,Europe,2022,Medium,10.004101835435648
Reforestation,Asia,2001,Medium,17.977900210967164
Reforestation,South America,2020,Low,18.728857773767345
Reforestation,South America,2021,None,17.897357530869137
Methane Capture,South America,2005,Low,5.525118722102085
Methane Capture,Europe,2014,None,16.810600175076583
Reforestation,North America,2020,Medium,11.170091997487159
Energy Efficiency,Europe,2009,High,18.105843802733375
Methane Capture,South America,2022,High,14.569313940271082
Reforestation,Asia,2023,High,17.504647012159374
Reforestation,Africa,2006,High,12.491476548002531
Energy Efficiency,North America,2004,High,13.025382568983993
Renewable Energy,North America,2000,Low,7.1658144820050085
Methane Capture,Europe,2012,None,16.759810380340333
Energy Efficiency,North America,2020,Medium,11.290844175004574
Reforestation,South America,2017,Low,12.501201774073738
Reforestation,South America,2012,None,16.776465711435613
Energy Efficiency,Europe,2020,High,13.982681001191585
Methane Capture,South America,2020,None,8.016480911640011
Renewable Energy,Asia,2017,None,13.853489887263391
Renewable Energy,Europe,2004,High,11.114492869694836
Reforestation,Asia,2012,High,12.04288313065794
Methane Capture,Africa,2003,High,5.4246691160400164
Renewable Energy,Asia,2016,Medium,8.150440242744224
Methane Capture,Africa,2002,High,9.215571220715423
Methane Capture,Africa,2016,Medium,15.694400117882086
Reforestation,Asia,2010,High,5.17238709947173
Renewable Energy,Europe,2020,Medium,11.13165891843698
Energy Efficiency,South America,2019,None,18.86040305638599
Reforestation,South America,2022,Low,6.678209248236858
Renewable Energy,Africa,2020,None,12.746365823279167
Renewable Energy,Africa,2003,None,16.797835735862705
Renewable Energy,Europe,2001,High,19.13796961280175
Renewable Energy,North America,2019,Medium,16.20164959300577
Renewable Energy,Asia,2015,Low,15.808483229666091
Methane Capture,Africa,2017,High,17.397321352936437
Reforestation,South America,2007,High,11.693018314663155
Methane Capture,Europe,2002,High,17.087667989267494
Energy Efficiency,Asia,2008,None,5.119466071181767
Renewable Energy,Europe,2019,Medium,18.868415830652076
Reforestation,Asia,2005,Medium,11.64959764275763
Renewable Energy,Asia,2009,Low,13.300702817986213
Reforestation,Africa,2020,Medium,8.823233733723235
Methane Capture,Europe,2009,Medium,16.13796249260632
Reforestation,Europe,2012,High,6.149537097128732
Energy Efficiency,South America,2016,High,18.08953703820253
Energy Efficiency,South America,2008,None,17.421752435095144
Reforestation,Africa,2016,High,8.240901743671497
Reforestation,Africa,2023,High,17.139865974278933
Reforestation,North America,2008,High,16.79536599592222
Reforestation,South America,2008,High,14.483248966309235
Energy Efficiency,Asia,2000,None,10.602802653495313
Renewable Energy,Europe,2001,High,9.072481312728017
Reforestation,Africa,2015,Low,8.47675385434025
Reforestation,Europe,2000,Low,9.779134441454108
Energy Efficiency,Europe,2009,Low,18.553376651487955
Energy Efficiency,North America,2017,Low,6.164611639831719
Methane Capture,South America,2007,High,17.43306914379438
Reforestation,Africa,2020,Low,10.233351125627355
Methane Capture,Europe,2010,High,12.823990940170372
Energy Efficiency,Africa,2022,None,16.917284504727363
Energy Efficiency,Asia,2001,Low,18.26564820534457
Renewable Energy,North America,2007,Medium,10.171721301089704
Reforestation,Asia,2021,Low,11.927652219126655
Methane Capture,Africa,2007,Low,11.217740972251883
Energy Efficiency,Africa,2016,High,5.1987655025586585
Energy Efficiency,South America,2014,Low,9.43914333287985
Methane Capture,Europe,2016,Medium,11.887838505988427
Renewable Energy,Europe,2022,High,11.166404133206598
Energy Efficiency,Asia,2023,High,15.82893841273519
Reforestation,North America,2012,None,10.772054258316548
Energy Efficiency,Europe,2018,None,12.340646734560053
Reforestation,South America,2004,Low,11.44412888198545
Methane Capture,Asia,2011,None,16.109392233415555
Reforestation,Asia,2000,None,17.94458598480444
Methane Capture,South America,2022,None,12.978336185112713
Reforestation,North America,2004,High,16.841482912927866
Methane Capture,South America,2007,High,9.45180023029776
Reforestation,North America,2012,High,13.120544152359031
Renewable Energy,South America,2007,None,10.178449305049586
Reforestation,South America,2024,High,11.213013883577455
Reforestation,Africa,2022,None,15.986207972190028
Renewable Energy,Asia,2010,High,18.22493723499069
Energy Efficiency,South America,2000,High,6.822430866316481
Energy Efficiency,South America,2012,Medium,14.519588847310708
Reforestation,Europe,2018,Low,13.732157113666977
Renewable Energy,Asia,2023,None,6.776225587638978
Reforestation,Europe,2002,Medium,8.178414956601635
Methane Capture,Asia,2023,High,9.665037420990204
Methane Capture,Europe,2016,None,7.503966062262522
Reforestation,South America,2004,High,8.655942237865126
Energy Efficiency,South America,2019,Low,9.014011982925613
Energy Efficiency,Africa,2020,Medium,10.035107495585894
Reforestation,Europe,2007,Low,16.240856792017386
Reforestation,North America,2013,Medium,13.57868305775901
Methane Capture,Africa,2003,High,19.793700079271023
Energy Efficiency,Europe,2010,Low,11.221037404512066
Reforestation,Europe,2019,Low,16.307976107553877
Methane Capture,Africa,2014,High,18.072026320648007
Energy Efficiency,South America,2018,Low,15.18467739557063
Renewable Energy,Europe,2006,None,11.17797110626244
Methane Capture,South America,2018,Medium,16.303919461186297
Energy Efficiency,Africa,2018,Medium,8.055007066590273
Energy Efficiency,South America,2010,Medium,9.913282477701987
Methane Capture,Asia,2004,None,13.200278826489331
Renewable Energy,North America,2004,Medium,13.631140809292225
Methane Capture,Europe,2021,High,5.332122132089442
Energy Efficiency,North America,2007,Low,19.176712831340133
Reforestation,South America,2009,None,15.44940906826085
Reforestation,Europe,2005,Medium,12.435556253478365
Methane Capture,South America,2014,High,18.996908516124627
Energy Efficiency,Asia,2015,Low,11.586433478762427
Reforestation,Africa,2016,Low,19.706533554055575
Energy Efficiency,Europe,2007,None,12.684271358652277
Methane Capture,Asia,2007,None,6.714286549969692
Reforestation,Asia,2024,None,16.47201458688916
Energy Efficiency,Europe,2008,High,15.183465876167608
Reforestation,South America,2001,High,16.594800819583803
Methane Capture,Asia,2014,None,19.271630430885217
Energy Efficiency,North America,2017,Medium,16.64733953976527
Reforestation,Asia,2002,Low,14.170049033249704
Methane Capture,South America,2016,Low,17.859633535412613
Reforestation,South America,2003,High,15.098696590317973
Reforestation,North America,2003,Low,11.121785852388847
Renewable Energy,Asia,2013,Medium,18.284296463626596
Renewable Energy,South America,2008,Low,8.328506911765594
Methane Capture,Europe,2008,High,15.719619123630864
Renewable Energy,Africa,2024,High,18.223451824111354
Methane Capture,Africa,2022,Medium,15.969747795549443
Renewable Energy,Africa,2017,Medium,15.459131285807853
Reforestation,Asia,2009,Low,16.28957441107754
Methane Capture,North America,2020,Low,11.975828724509665
Methane Capture,South America,2003,High,18.112560232355392
Reforestation,Europe,2011,Medium,8.051547127041367
Methane Capture,Europe,2007,Medium,6.910796240005089
Methane Capture,Asia,2001,Medium,9.282631701777674
Renewable Energy,Africa,2021,Low,12.973660951624897
Methane Capture,Asia,2012,Medium,12.65842693114007
Energy Efficiency,North America,2020,High,17.3089813651488
Reforestation,North America,2015,High,11.068529846060262
Renewable Energy,South America,2001,Low,12.26516639437263
Renewable Energy,South America,2010,None,5.200515248890935
Energy Efficiency,North America,2009,Low,11.146088546644087
Reforestation,North America,2014,None,14.716613494255132
Reforestation,North America,2016,Medium,5.2326249593988825
Renewable Energy,Asia,2007,Low,9.213229477793657
Methane Capture,North America,2017,High,8.119345389340848
Renewable Energy,Europe,2022,Medium,5.629781433643823
Reforestation,Africa,2008,High,12.188901348718062
Energy Efficiency,North America,2024,Medium,7.725849398422348
Renewable Energy,Africa,2007,Low,16.146223094470702
Reforestation,Asia,2013,None,17.718918256450227
Renewable Energy,Africa,2024,Medium,13.183777740037216
Methane Capture,Asia,2017,None,19.72561013781712
Renewable Energy,Europe,2021,Medium,11.75717857205893
Renewable Energy,Asia,2019,High,12.700523153373734
Reforestation,Asia,2019,High,19.838266309366254
Reforestation,South America,2020,Medium,8.473226539475732
Reforestation,North America,2011,None,19.138189095153578
Renewable Energy,North America,2018,Low,5.642563326786699
Methane Capture,Europe,2013,Low,11.695803353947921
Energy Efficiency,Europe,2016,High,6.050052681995987
Energy Efficiency,North America,2023,Low,15.938521143704644
Reforestation,South America,2020,High,14.126134038200266
Reforestation,North America,2002,Low,15.599513952013947
Renewable Energy,South America,2022,Medium,10.617205999520255
Energy Efficiency,Europe,2006,High,10.542229010470704
Reforestation,Africa,2016,High,5.679789184413419
Methane Capture,Europe,2011,Medium,10.249174092944596
Methane Capture,Europe,2008,High,18.93932603393089
Reforestation,Asia,2014,Low,10.688398057706735
Reforestation,Asia,2017,Low,17.47051559332955
Energy Efficiency,Asia,2020,High,17.634882571249012
Energy Efficiency,Asia,2012,Low,10.598617345688506
Renewable Energy,South America,2020,None,14.479830205942836
Energy Efficiency,North America,2007,High,6.43057403409588
Methane Capture,Africa,2013,Medium,6.555178711014147
Methane Capture,Europe,2007,None,5.7298649549256995
Reforestation,South America,2013,High,13.715226400626642
Energy Efficiency,Africa,2006,Medium,11.391064664391456
Renewable Energy,South America,2022,Low,13.220485349963601
Methane Capture,South America,2011,Medium,12.816097857625817
Methane Capture,Europe,2010,None,10.253044866360954
Renewable Energy,North America,2021,Low,15.162101222352094
Renewable Energy,Asia,2021,High,16.37752821374586
Methane Capture,North America,2010,Low,5.219423883165136
Methane Capture,Europe,2024,High,8.108634496533174
Renewable Energy,Europe,2021,High,15.698538021250052
Methane Capture,Europe,2012,Medium,10.799302589507512
Reforestation,Africa,2017,Medium,14.937259204124123
Reforestation,North America,2001,Medium,10.204439896018377
Renewable Energy,North America,2020,None,10.861327284944556
Energy Efficiency,South America,2014,None,7.3801831053452736
Renewable Energy,South America,2019,Medium,8.8734652949924
Renewable Energy,South America,2017,None,14.081176362613808
Energy Efficiency,Europe,2014,Low,11.497446669727495
Energy Efficiency,North America,2018,Low,16.61454024416893
Energy Efficiency,Europe,2022,None,17.788774324075142
Reforestation,Africa,2023,None,13.124696273251399
Methane Capture,South America,2011,Low,16.37400938084089
Reforestation,Europe,2012,High,9.60356769791855
Methane Capture,Europe,2021,Low,11.224568231001173
Reforestation,Africa,2010,Low,15.691665143252465
Methane Capture,Asia,2004,None,10.79317989225546
Reforestation,North America,2000,Low,13.827574027384832
Energy Efficiency,Asia,2023,None,7.780591686237672
Renewable Energy,South America,2002,None,13.99656972455747
Reforestation,Europe,2021,Medium,17.922705608403405
Methane Capture,Africa,2018,Low,18.029594597351384
Energy Efficiency,Africa,2022,High,15.865166094943095
Reforestation,North America,2006,Medium,16.18630068614189
Reforestation,Asia,2011,None,13.36891167726051
Energy Efficiency,North America,2014,None,13.770021352487372
Reforestation,Europe,2024,High,7.00475872115777
Renewable Energy,North America,2004,None,11.657887826319516
Reforestation,Africa,2014,Low,11.761644258295458
Renewable Energy,Africa,2007,Medium,19.377467535016102
Renewable Energy,South America,2009,None,11.46630293934934
Energy Efficiency,South America,2015,None,13.240139673541364
Reforestation,Europe,2007,High,12.998770989186538
Energy Efficiency,Asia,2000,Low,14.551425755664907
Reforestation,North America,2011,None,16.22349246997844
Reforestation,Europe,2004,High,8.375628142563082
Methane Capture,South America,2002,None,12.930866286476537
Reforestation,North America,2000,High,17.388765609740457
Energy Efficiency,South America,2003,High,11.946720707562672
Renewable Energy,North America,2007,Low,9.176863195603595
Reforestation,Asia,2002,None,14.820636130344486
Methane Capture,Europe,2009,Low,17.356510936986844
Energy Efficiency,North America,2001,High,5.94710439391087
Reforestation,Africa,2010,Medium,16.651857251108407
Energy Efficiency,Africa,2024,None,17.32471899442657
Methane Capture,North America,2009,Medium,11.922843913829102
Methane Capture,North America,2020,None,19.74958485227701
Energy Efficiency,North America,2013,Low,16.800625110609637
Reforestation,Africa,2006,Low,16.604938473434984
Renewable Energy,Africa,2001,Low,16.21757861618108
Methane Capture,North America,2008,Low,7.25912154827411
Reforestation,South America,2015,Low,8.258463296795162
Reforestation,South America,2012,Medium,11.959851971966376
Renewable Energy,Asia,2008,Low,8.960065249391988
Methane Capture,Europe,2019,High,11.228614585010607
Methane Capture,South America,2003,High,18.32696164884381
Reforestation,Africa,2021,Medium,17.364903378189037
Reforestation,South America,2009,None,14.450598177199733
Renewable Energy,Asia,2021,High,17.87180591376655
Renewable Energy,Asia,2011,None,16.75658583525874
Methane Capture,Europe,2016,Medium,11.434773977613357
Energy Efficiency,South America,2013,None,8.015977280749176
Methane Capture,Africa,2013,None,12.71301560014009
Reforestation,Africa,2024,None,16.04343323792825
Methane Capture,North America,2001,None,11.546293980943895
Energy Efficiency,Africa,2020,Medium,15.001578646758459
Renewable Energy,Europe,2024,High,6.414911394365655
Energy Efficiency,Europe,2019,Low,16.220071045571054
Energy Efficiency,Africa,2010,None,17.19070429839593
Energy Efficiency,Africa,2015,High,15.602567836708117
Renewable Energy,North America,2018,High,19.508953812895484
Energy Efficiency,Africa,2022,Medium,17.399780861909605
Energy Efficiency,North America,2005,High,18.546405918148075
Energy Efficiency,North America,2023,Medium,19.00356625186472
Reforestation,Africa,2018,None,17.020219878107127
Energy Efficiency,Asia,2004,None,15.113882630097487
Renewable Energy,Asia,2003,Low,5.085778720411839
Energy Efficiency,North America,2014,Low,11.98738629834687
Energy Efficiency,Africa,2003,Low,13.567434479335414
Renewable Energy,Asia,2019,High,9.560454086719995
Energy Efficiency,Africa,2009,None,9.77156670355208
Renewable Energy,Africa,2023,Medium,19.417391235652477
Energy Efficiency,Africa,2021,Low,18.375662978041188
Renewable Energy,South America,2002,Medium,17.737685082525566
Energy Efficiency,Africa,2004,Medium,11.09017702559166
Energy Efficiency,South America,2005,Low,5.205478256133718
Reforestation,North America,2020,None,6.203333696835712
Reforestation,Asia,2021,Low,9.682945523264054
Energy Efficiency,Asia,2007,Medium,5.236143694935155
Energy Efficiency,Asia,2006,Low,5.257246728727972
Methane Capture,Asia,2020,Medium,18.749049524636163
